origin,destination,search_date,departure_date,days_ahead,price
SSA,FLN,2025-07-01,2025-07-30,29,804.96
CWB,POA,2024-11-29,2025-01-10,42,329.98
NAT,CGH,2025-06-18,2025-08-29,72,485.71
REC,VCP,2024-10-12,2024-10-30,18,339.95
BSB,FLN,2025-03-11,2025-05-10,60,641.47
CGH,CGB,2025-08-20,2025-10-18,59,317.82
CGB,BEL,2024-10-31,2025-01-15,76,458.51
REC,FLN,2024-11-17,2025-01-20,64,1006.72
CGB,BSB,2025-04-11,2025-07-07,87,1094.04
GRU,BEL,2024-11-21,2024-11-22,1,846.33
REC,BEL,2024-12-27,2025-01-03,7,313.97
GIG,GRU,2025-03-30,2025-04-27,28,552.48
VCP,GRU,2025-07-04,2025-09-30,88,800.67
BEL,POA,2024-12-09,2025-02-14,67,274.76
GRU,BSB,2025-03-06,2025-05-12,67,739.54
CGH,BEL,2025-08-17,2025-10-21,65,190.47
CGB,GRU,2024-09-27,2024-10-31,34,530.91
CGH,REC,2025-07-12,2025-10-08,88,284.25
CWB,BEL,2024-12-16,2025-03-01,75,874.31
POA,REC,2024-09-12,2024-12-11,90,800.35
NAT,BEL,2025-05-16,2025-07-14,59,565.51
GIG,FOR,2025-08-30,2025-11-05,67,784.3
CWB,CGH,2024-09-21,2024-09-26,5,736.1
SDU,FLN,2025-04-08,2025-06-11,64,641.04
BSB,GRU,2024-12-23,2025-02-01,40,774.77
CGH,SDU,2024-09-30,2024-10-31,31,528.3
REC,CGB,2025-04-10,2025-05-19,39,930.77
SDU,CWB,2025-02-27,2025-05-10,72,672.76
SDU,POA,2024-11-14,2024-12-10,26,795.41
NAT,CWB,2025-08-05,2025-10-26,82,967.57
GIG,GRU,2025-03-20,2025-06-15,87,408.48
FLN,NAT,2024-09-24,2024-10-17,23,939.77
REC,NAT,2025-02-06,2025-02-28,22,730.45
CWB,CGH,2025-08-11,2025-08-24,13,567.69
POA,CWB,2024-10-01,2024-10-15,14,708.96
FOR,POA,2025-01-07,2025-03-15,67,517.45
FLN,BEL,2025-05-03,2025-07-30,88,308.64
GRU,BEL,2025-02-13,2025-03-27,42,776.66
BSB,SSA,2024-11-02,2024-11-19,17,850.44
POA,CWB,2025-05-01,2025-07-13,73,531.87
SSA,NAT,2025-08-28,2025-09-25,28,969.32
POA,FOR,2025-05-07,2025-05-14,7,829.07
GIG,FOR,2025-07-19,2025-10-10,83,473.25
FLN,GIG,2025-04-05,2025-04-21,16,878.83
CWB,BSB,2025-04-29,2025-07-28,90,672.76
CGB,NAT,2025-03-20,2025-03-21,1,1264.87
REC,NAT,2025-06-20,2025-06-24,4,467.44
CWB,CGH,2024-11-17,2024-11-18,1,1020.08
FOR,SDU,2025-06-23,2025-07-12,19,281.55
BSB,NAT,2024-09-22,2024-10-16,24,283.42
BEL,GIG,2024-11-11,2024-12-16,35,988.74
FLN,CWB,2025-06-22,2025-09-19,89,254.29
VCP,REC,2025-01-06,2025-01-18,12,927.61
SSA,BSB,2024-10-22,2024-12-19,58,1037.93
CGB,GIG,2024-09-27,2024-11-01,35,495.17
CGB,VCP,2024-10-26,2024-12-01,36,189.01
FOR,NAT,2025-05-15,2025-08-03,80,892.32
CWB,CGB,2025-06-02,2025-06-07,5,880.2
GRU,NAT,2025-02-02,2025-03-28,54,479.65
NAT,BEL,2025-02-26,2025-03-05,7,537.24
POA,CWB,2025-06-07,2025-07-13,36,236.64
NAT,CGH,2024-12-11,2025-02-05,56,573.69
VCP,NAT,2025-05-06,2025-06-25,50,799.49
CGH,GIG,2024-09-07,2024-10-06,29,1110.53
VCP,CGB,2025-07-08,2025-09-26,80,662.57
CGB,CGH,2024-12-13,2025-01-05,23,1068.57
FOR,POA,2025-04-26,2025-04-29,3,1183.75
CGB,GIG,2025-09-05,2025-10-15,40,843.52
CGB,BSB,2025-03-31,2025-05-11,41,210.97
SSA,FLN,2025-05-27,2025-07-26,60,565.77
GRU,REC,2025-08-21,2025-10-19,59,595.25
POA,BSB,2024-11-04,2024-11-29,25,797.06
SDU,GIG,2024-09-16,2024-11-07,52,242.97
GIG,NAT,2024-12-03,2025-01-30,58,543.05
VCP,NAT,2025-03-20,2025-04-16,27,549.27
CWB,CGB,2024-10-10,2024-11-25,46,785.04
FOR,GIG,2025-06-15,2025-08-16,62,902.63
CWB,CGH,2024-12-27,2025-01-12,16,726.91
BEL,NAT,2025-06-16,2025-07-16,30,799.96
BEL,CGB,2024-09-13,2024-09-27,14,1087.47
SSA,CWB,2025-07-21,2025-10-15,86,186.67
GIG,POA,2025-05-29,2025-08-04,67,742.5
BSB,POA,2024-11-16,2025-01-21,66,265.24
SSA,POA,2024-10-30,2024-11-22,23,320.71
NAT,GRU,2024-11-10,2024-12-27,47,529.07
FLN,SDU,2025-02-10,2025-04-13,62,432.8
FLN,GRU,2025-07-15,2025-09-07,54,620.78
BSB,FLN,2025-09-04,2025-09-17,13,829.98
CGH,FLN,2025-05-24,2025-07-07,44,475.56
REC,BEL,2025-01-22,2025-02-21,30,1166.11
REC,CGB,2024-12-04,2024-12-21,17,794.78
BEL,FOR,2024-10-27,2025-01-11,76,353.71
REC,GIG,2025-01-24,2025-04-07,73,355.37
CGB,VCP,2025-06-25,2025-07-25,30,1050.33
CWB,CGB,2024-12-31,2025-01-28,28,425.65
CWB,GIG,2025-08-12,2025-09-09,28,251.07
SDU,CWB,2025-04-18,2025-05-01,13,921.08
SDU,FLN,2025-01-09,2025-01-20,11,420.04
CWB,FLN,2025-08-27,2025-10-17,51,244.85
VCP,FOR,2024-09-15,2024-09-26,11,662.59
CGH,VCP,2025-02-22,2025-03-11,17,345.16
POA,REC,2025-01-15,2025-04-08,83,498.41
CWB,CGB,2025-02-06,2025-03-02,24,624.62
BSB,CGH,2025-08-20,2025-09-04,15,440.86
SSA,VCP,2025-03-17,2025-06-02,77,905.69
GRU,POA,2025-01-01,2025-03-03,61,382.85
NAT,VCP,2025-07-23,2025-09-18,57,293.44
FLN,REC,2025-07-11,2025-08-24,44,890.87
BEL,SDU,2025-07-23,2025-09-28,67,747.8
BSB,CWB,2024-11-20,2024-12-04,14,389.46
SDU,CWB,2025-08-27,2025-09-20,24,714.53
BEL,VCP,2025-07-25,2025-08-30,36,1060.42
SDU,SSA,2024-10-18,2024-11-13,26,745.43
CWB,CGB,2025-04-16,2025-07-11,86,644.91
BSB,FOR,2025-01-17,2025-02-13,27,327.88
SDU,FOR,2024-10-07,2024-11-29,53,286.21
SDU,FOR,2025-05-15,2025-05-30,15,904.57
BSB,REC,2025-06-03,2025-08-07,65,378.58
BSB,SDU,2025-08-22,2025-09-27,36,337.87
